Issue Key;Created Date;Коммуникация направлена;Новая;Отклонен;Размещено в БЗ;Согласовано ЦПК;Согласовано с бизнесом;Согласовано с маркетингом;ХОЛД;Resolution Date;T2M (days)
CAMPEIGN-37716;2025-08-11 08:15:28;75.0749;2.9578;0.0;0.3205;7.7825999999999995;0.0093;0.0492;6.9858;2025-11-12 12:34:47;93.18008101851852
CAMPEIGN-37724;2025-08-11 11:09:46;0.0;2.8358;79.2316;0.0;0.0;0.083;0.0;10.9087;2025-11-12 12:34:46;93.05902777777777
CAMPEIGN-37737;2025-08-11 13:25:36;28.8524;14.0694;0.0;0.0081;2.0169;0.6474;0.0123;47.3581;2025-11-12 12:34:45;92.9646875
CAMPEIGN-37766;2025-08-12 10:44:16;0.0;3.1791;55.9379;0.0;0.0;0.0;0.0;32.9597;2025-11-12 12:34:44;92.07671296296296
CAMPEIGN-37778;2025-08-12 12:37:46;1.9586;1.0364;0.0;2.7507;1.3047;0.7722;0.0572;84.1181;2025-11-12 12:34:43;91.99788194444444
CAMPEIGN-37789;2025-08-12 14:57:40;47.1435;0.9355;0.0;0.0401;21.9129;0.6602;0.0041;21.2043;2025-11-12 12:34:42;91.9007175925926
CAMPEIGN-37799;2025-08-13 08:10:36;0.0;0.2145;78.9887;0.0;0.0;0.0;0.0;11.9802;2025-11-12 12:34:42;91.18340277777777
CAMPEIGN-37808;2025-08-13 09:28:20;50.896;0.1552;0.0;0.7595;4.3091;12.0028;0.1257;22.8809;2025-11-12 12:34:41;91.12940972222222
CAMPEIGN-37813;2025-08-13 10:47:13;49.9427;0.0985;0.0;0.0692;8.2024;26.7736;0.0105;5.9777;2025-11-12 12:34:40;91.07461805555556
CAMPEIGN-37819;2025-08-13 11:42:35;57.9799;0.8091;0.0;0.1563;25.9428;2.1478;0.0057;3.9945;2025-11-12 12:34:39;91.0361574074074
CAMPEIGN-37821;2025-08-13 13:25:10;6.2162;5.0594;0.0;0.7453;50.0119;7.7673;0.1689;20.996000000000002;2025-11-12 12:34:39;90.96491898148147
CAMPEIGN-37874;2025-08-15 08:38:37;48.7482;3.2635;0.0;0.0006;5.4011;3.3347;0.7083;27.7076;2025-11-12 12:34:38;89.16390046296296
CAMPEIGN-37881;2025-08-15 10:20:44;55.2697;10.1976;0.0;0.0193;15.7479;7.7487;0.1097;0.0;2025-11-12 12:34:38;89.09298611111112
CAMPEIGN-37882;2025-08-15 10:24:57;55.2694;10.1945;0.0;0.0276;19.7827;3.7695;0.0463;0.0;2025-11-12 12:34:37;89.0900462962963
CAMPEIGN-37887;2025-08-15 11:35:54;0.0;6.2231;69.2342;0.0;0.0;0.7615;0.0;12.822;2025-11-12 12:34:35;89.04075231481481
CAMPEIGN-37899;2025-08-15 13:49:25;0.0;2.7079;86.1533;0.0;0.0;0.0868;0.0;0.0;2025-11-12 12:34:35;88.94803240740741
