Employee Department;Field;Count
Департамент бизнес-маркетинга, Управление исследований и аналитики;Comment;1
Департамент бизнес-маркетинга, Управление исследований и аналитики;Бриф по маркетинговым материалам;1
Департамент бизнес-маркетинга, Управление исследований и аналитики;Критерии отбора целевой аудитории;1
Департамент вторичных продаж розничным клиентам и персонализации, Дирекция персонализации и оптимизации продаж, Отдел бизнес-персонализации;assignee;3
Департамент гарантийного бизнеса и контрактного финансирования, Дирекция развития продаж, Управление по развитию и поддержке продаж;description;13
Департамент гарантийного бизнеса и контрактного финансирования, Дирекция развития продаж, Управление по развитию и поддержке продаж;Attachment;1
Департамент гарантийного бизнеса и контрактного финансирования, Дирекция развития продаж, Управление по развитию и поддержке продаж;summary;1
Департамент гарантийного бизнеса и контрактного финансирования, Дирекция развития продаж, Управление по развитию и поддержке продаж;Заказчик;1
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;Attachment;40
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;assignee;3
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;description;3
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;status;3
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;Комментарий к оценке;3
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;Оценка выполнения;3
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;summary;1
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;Дата запуска;1
Департамент дистанционной поддержки клиентов, Дирекция дистанционного обслуживания, Управление по обслуживанию юридических лиц, Отдел поддержки корпоративных клиентов;Attachment;1
Департамент дистанционной поддержки клиентов, Дирекция заботы о клиентах, Управление по работе с обращениями от контролирующих органов и клиентов, Группа сопровождения;Attachment;23
Департамент дистанционной поддержки клиентов, Дирекция заботы о клиентах, Управление по работе с обращениями от контролирующих органов и клиентов, Группа сопровождения;description;14
Департамент дистанционной поддержки клиентов, Дирекция заботы о клиентах, Управление по работе с обращениями от контролирующих органов и клиентов, Группа сопровождения;summary;3
Департамент дистанционной поддержки клиентов, Дирекция телефонных продаж, Управление продаж ЮЛ;Attachment;6
Департамент информационных технологий, Дирекция по управлению эффективностью и реализации проектов информационных технологий, Управление проектной деятельности информационных технологий;description;1
Департамент кибербезопасности, Дирекция безопасности инфраструктуры, Управление сопровождения систем кибербезопасности, Отдел сопровождения систем защиты от кибератак;description;3
Департамент клиентского опыта и координации розничного бизнеса, Дирекция координации и развития розничного бизнеса, Управление методологии и сопровождения розничного бизнеса, Отдел методологии;Attachment;7
