Employee Department;Total Actions;Top 3 Operations
Департамент развития кредитования малого бизнеса, Дирекция развития процессов и методологии, Отдел методологии поточного кредитования;92;Attachment (53), Дата запуска (12), description (7)
Департамент развития цифровых каналов физических лиц, Дирекция развития Альфа-Мобайл;91;RemoteIssueLink (39), Attachment (12), assignee (11)
Департамент розничного инвестиционного бизнеса, Управление технологий, Отдел администрирования;90;status (30), resolution (29), Link (13)
Департамент кредитования корпоративного бизнеса, Дирекция развития продуктов и систем принятия кредитных решений, Управление методологии классического кредитования и специальных проектов, Отдел методологии продуктов и систем принятия решения;88;Attachment (23), assignee (13), Link (12)
Департамент CRM, персонализации и платформенных решений, Дирекция реализации CRM кампаний, Отдел реализации целевых кампаний ММБ;76;Attachment (30), Link (22), assignee (7)
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Управление event-маркетинга;67;Attachment (25), assignee (24), status (17)
Департамент стратегического развития и качества, Дирекция agile трансформации;62;labels (28), status (15), Link (12)
Департамент развития кросс-блочных процессов и предложений для предпринимателей, Управление развития кросс-блочных предложений;61;Attachment (25), assignee (10), Описание проекта/задачи бизнеса (5)
Департамент разработки и поддержки продаж транзакционных продуктов, Дирекция разработки транзакционных продуктов;61;Attachment (26), description (9), Текст рассылки или сам макет (7)
Департамент технологического развития малого и микробизнеса, Управление технологического развития эквайринга и платежных сервисов;58;Link (18), RemoteIssueLink (12), Attachment (10)
Департамент гарантийного бизнеса и контрактного финансирования, Отдел методологии продуктов и проектных инициатив;57;Attachment (40), assignee (3), description (3)
Дирекция развития операционных и CRM-решений, Управление развития операционных и CRM-решений по юридическим лицам;56;Attachment (34), description (9), Link (4)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ;54;Attachment (9), status (8), Комментарий к оценке (5)
Операционный департамент, Дирекция сопровождения расчетов, Управление расчетов;54;Attachment (37), assignee (10), Текст рассылки или сам макет (2)
Операционный департамент, Дирекция сопровождения клиентских операций, Управление поддержки процессов операционно-сервисного обслуживания клиентов, Отдел методологического сопровождения;53;Attachment (44), description (2), status (2)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития процессов оформления и сопровождения клиента в Банке, Отдел разработки и улучшений процессов онбординга клиентов;53;Attachment (31), RemoteIssueLink (4), assignee (3)
Департамент развития эквайринга и платежных сервисов, Дирекция развития эквайринга, Отдел интернет-эквайринга;51;Link (15), assignee (10), description (10)
Департамент развития эквайринга и платежных сервисов, Дирекция развития эквайринга, Отдел развития технологий;50;Attachment (32), Link (5), description (3)
"Департамент контента и пользовательского опыта, Управление ""Координация и продюсирование проектов""";50;Link (13), Attachment (11), summary (6)
Департамент продвинутой аналитики, Управление технологий машинного обучения, Центр разработки MLops сервисов;48;Attachment (13), description (10), assignee (5)
Департамент розничного инвестиционного бизнеса, Дирекция развития розничных инвестиций;46;RemoteIssueLink (31), Attachment (15)
Департамент развития цифровых каналов юридических лиц;46;Attachment (19), assignee (12), status (4)
Департамент развития кредитования малого бизнеса, Дирекция развития кредитных продуктов, Управление развития срочного кредитования и ценообразования;44;Attachment (38), reporter (1), status (1)
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел event-маркетинга;44;Attachment (15), Ссылка на лендинг (5), status (4)
Департамент продаж и развития малого и микробизнеса, Дирекция по эффективности вторичных продаж и развитию комиссионных решений;44;Attachment (31), summary (3), Продукты (2)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития накопительных продуктов, Отдел разработки и развития накопительных продуктов;42;Attachment (33), assignee (4), Описание проекта/задачи бизнеса (2)
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;41;Attachment (10), Описание проекта/задачи бизнеса (10), assignee (9)
Департамент дистанционной поддержки клиентов, Дирекция заботы о клиентах, Управление по работе с обращениями от контролирующих органов и клиентов, Группа сопровождения;40;Attachment (23), description (14), summary (3)
Операционный департамент, Дирекция сопровождения клиентских операций, Управление операционного-сервисного обслуживания розничного бизнеса;39;Attachment (23), status (6), Оценка выполнения (6)
Департамент бизнес-маркетинга, Управление исследований и аналитики;38;Attachment (22), assignee (7), Component (2)
Департамент развития эквайринга и платежных сервисов, Дирекция развития эквайринга, Отдел поддержки продуктов электронной коммерции;38;Attachment (37), Comment (1)
Департамент развития партнерских продаж и микробизнеса, Дирекция привлечения ключевых партнеров, Отдел операционной поддержки;38;description (14), Attachment (8), Новость (6)
